method,prompt_id,complexity,attempt,recall_score,success,image_path,total_gens,selected
rejection_k5,1,simple,1,1.0,True,images_rejection/p1_a1.png,5,True
rejection_k5,1,simple,2,1.0,True,images_rejection/p1_a2.png,5,False
rejection_k5,1,simple,3,1.0,True,images_rejection/p1_a3.png,5,False
rejection_k5,1,simple,4,1.0,True,images_rejection/p1_a4.png,5,False
rejection_k5,1,simple,5,1.0,True,images_rejection/p1_a5.png,5,False
rejection_k5,2,simple,1,1.0,True,images_rejection/p2_a1.png,5,True
rejection_k5,2,simple,2,1.0,True,images_rejection/p2_a2.png,5,False
rejection_k5,2,simple,3,0.5,False,images_rejection/p2_a3.png,5,False
rejection_k5,2,simple,4,1.0,True,images_rejection/p2_a4.png,5,False
rejection_k5,2,simple,5,1.0,True,images_rejection/p2_a5.png,5,False
rejection_k5,3,simple,1,1.0,True,images_rejection/p3_a1.png,5,True
rejection_k5,3,simple,2,0.5,False,images_rejection/p3_a2.png,5,False
rejection_k5,3,simple,3,1.0,True,images_rejection/p3_a3.png,5,False
rejection_k5,3,simple,4,0.5,False,images_rejection/p3_a4.png,5,False
rejection_k5,3,simple,5,1.0,True,images_rejection/p3_a5.png,5,False
rejection_k5,4,simple,1,1.0,True,images_rejection/p4_a1.png,5,True
rejection_k5,4,simple,2,1.0,True,images_rejection/p4_a2.png,5,False
rejection_k5,4,simple,3,1.0,True,images_rejection/p4_a3.png,5,False
rejection_k5,4,simple,4,0.5,False,images_rejection/p4_a4.png,5,False
rejection_k5,4,simple,5,1.0,True,images_rejection/p4_a5.png,5,False
rejection_k5,5,simple,1,1.0,True,images_rejection/p5_a1.png,5,True
rejection_k5,5,simple,2,1.0,True,images_rejection/p5_a2.png,5,False
rejection_k5,5,simple,3,1.0,True,images_rejection/p5_a3.png,5,False
rejection_k5,5,simple,4,0.5,False,images_rejection/p5_a4.png,5,False
rejection_k5,5,simple,5,0.5,False,images_rejection/p5_a5.png,5,False
rejection_k5,6,simple,1,1.0,True,images_rejection/p6_a1.png,5,True
rejection_k5,6,simple,2,1.0,True,images_rejection/p6_a2.png,5,False
rejection_k5,6,simple,3,1.0,True,images_rejection/p6_a3.png,5,False
rejection_k5,6,simple,4,0.5,False,images_rejection/p6_a4.png,5,False
rejection_k5,6,simple,5,1.0,True,images_rejection/p6_a5.png,5,False
rejection_k5,7,simple,1,0.0,False,images_rejection/p7_a1.png,5,False
rejection_k5,7,simple,2,1.0,True,images_rejection/p7_a2.png,5,True
rejection_k5,7,simple,3,0.0,False,images_rejection/p7_a3.png,5,False
rejection_k5,7,simple,4,0.0,False,images_rejection/p7_a4.png,5,False
rejection_k5,7,simple,5,0.5,False,images_rejection/p7_a5.png,5,False
rejection_k5,8,simple,1,0.5,False,images_rejection/p8_a1.png,5,False
rejection_k5,8,simple,2,1.0,True,images_rejection/p8_a2.png,5,True
rejection_k5,8,simple,3,1.0,True,images_rejection/p8_a3.png,5,False
