prompt_id,original_prompt,structured_prompt,method,image_path,num_generated
1,a person and a dog,An image containing exactly two objects: a person and a dog. Show all two clearly.,structured,generated_images/structured/prompt_001.png,1
2,a cat sitting on a chair,An image containing exactly two objects: a cat sitting on a chair. Show all two clearly.,structured,generated_images/structured/prompt_002.png,1
3,a bicycle next to a car,An image containing exactly two objects: a bicycle next to a car. Show all two clearly.,structured,generated_images/structured/prompt_003.png,1
4,a laptop and a cup of coffee,An image containing exactly two objects: a laptop and a cup of coffee. Show all two clearly.,structured,generated_images/structured/prompt_004.png,1
5,a book on a dining table,An image containing exactly two objects: a book on a dining table. Show all two clearly.,structured,generated_images/structured/prompt_005.png,1
6,a bird and a vase,An image containing exactly two objects: a bird and a vase. Show all two clearly.,structured,generated_images/structured/prompt_006.png,1
7,a backpack and an umbrella,An image containing exactly two objects: a backpack and an umbrella. Show all two clearly.,structured,generated_images/structured/prompt_007.png,1
8,a couch with a teddy bear,An image containing exactly two objects: a couch with a teddy bear. Show all two clearly.,structured,generated_images/structured/prompt_008.png,1
9,a bottle and a bowl,An image containing exactly two objects: a bottle and a bowl. Show all two clearly.,structured,generated_images/structured/prompt_009.png,1
10,a horse and a motorcycle,An image containing exactly two objects: a horse and a motorcycle. Show all two clearly.,structured,generated_images/structured/prompt_010.png,1
11,a person walking a dog with a backpack,An image containing exactly three objects: a person walking a dog with a backpack. Show all three clearly.,structured,generated_images/structured/prompt_011.png,1
12,a cat a laptop and a mouse on a desk,An image containing exactly three objects: a cat a laptop and a mouse on a desk. Show all three clearly.,structured,generated_images/structured/prompt_012.png,1
13,a bicycle a car and a bus,An image containing exactly three objects: a bicycle a car and a bus. Show all three clearly.,structured,generated_images/structured/prompt_013.png,1
14,a cup a spoon and a bowl on a table,An image containing exactly three objects: a cup a spoon and a bowl on a table. Show all three clearly.,structured,generated_images/structured/prompt_014.png,1
15,a book a clock and a cell phone,An image containing exactly three objects: a book a clock and a cell phone. Show all three clearly.,structured,generated_images/structured/prompt_015.png,1
16,a chair a couch and a dining table,An image containing exactly three objects: a chair a couch and a dining table. Show all three clearly.,structured,generated_images/structured/prompt_016.png,1
17,a dog a cat and a bird,An image containing exactly three objects: a dog a cat and a bird. Show all three clearly.,structured,generated_images/structured/prompt_017.png,1
18,an apple a banana and an orange,An image containing exactly three objects: an apple a banana and an orange. Show all three clearly.,structured,generated_images/structured/prompt_018.png,1
19,a person on a bicycle with an umbrella,An image containing exactly three objects: a person on a bicycle with an umbrella. Show all three clearly.,structured,generated_images/structured/prompt_019.png,1
20,a truck a car and a motorcycle on a road,An image containing exactly three objects: a truck a car and a motorcycle on a road. Show all three clearly.,structured,generated_images/structured/prompt_020.png,1
21,a person sitting on a couch with a laptop and a cup,An image containing exactly four objects: a person sitting on a couch with a laptop and a cup. Show all four clearly.,structured,generated_images/structured/prompt_021.png,1
22,a dog a cat a bird and a bowl,An image containing exactly four objects: a dog a cat a bird and a bowl. Show all four clearly.,structured,generated_images/structured/prompt_022.png,1
23,a dining table with a fork a knife a spoon and a bottle,An image containing exactly four objects: a dining table with a fork a knife a spoon and a bottle. Show all four clearly.,structured,generated_images/structured/prompt_023.png,1
24,a bedroom with a bed a chair a clock and a book,An image containing exactly four objects: a bedroom with a bed a chair a clock and a book. Show all four clearly.,structured,generated_images/structured/prompt_024.png,1
25,a bicycle a backpack an umbrella and a handbag,An image containing exactly four objects: a bicycle a backpack an umbrella and a handbag. Show all four clearly.,structured,generated_images/structured/prompt_025.png,1
26,a laptop a mouse a keyboard and a cell phone on a desk,An image containing exactly four objects: a laptop a mouse a keyboard and a cell phone on a desk. Show all four clearly.,structured,generated_images/structured/prompt_026.png,1
27,a car a bus a truck and a motorcycle in a parking lot,An image containing exactly four objects: a car a bus a truck and a motorcycle in a parking lot. Show all four clearly.,structured,generated_images/structured/prompt_027.png,1
28,an apple a banana an orange and a sandwich,An image containing exactly four objects: an apple a banana an orange and a sandwich. Show all four clearly.,structured,generated_images/structured/prompt_028.png,1
29,a person with a dog a cat and a suitcase,An image containing exactly four objects: a person with a dog a cat and a suitcase. Show all four clearly.,structured,generated_images/structured/prompt_029.png,1
30,a couch a vase a clock and a teddy bear in a living room,An image containing exactly four objects: a couch a vase a clock and a teddy bear in a living room. Show all four clearly.,structured,generated_images/structured/prompt_030.png,1
